"Financial Year","Return Type","Name","Received From","Date","Value"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","30/11/2020","8800"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","27/10/2020","640"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","20/10/2020","1600"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","12/04/2021","850"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Austrade","25/05/2021","80"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Office of Northern Australia","09/03/2021","90"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Austrade","17/07/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Industry, Tourism and Trade","09/03/2021","180"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Austrade","29/07/2020","85"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","06/08/2020","170"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Northern Territory Government","20/10/2020","170"
"2020-21","Political Campaigner Return","Minerals Council of Australia","Department of Jobs, Precincts and Regions","29/06/2021","24200"
"2020-21","Significant Third Party Return","National Disability Services Limited","WA - Lottery Commission of Western Australia","15/10/2020","462000"
"2020-21","Significant Third Party Return","National Disability Services Limited","VIC - Department of Health & Human Services","","1480600"
"2020-21","Significant Third Party Return","National Disability Services Limited","QLD - Department of Employment, Small Business and Training","","443850"
"2020-21","Significant Third Party Return","National Disability Services Limited","WA - Department of Communities - Disability","","8740106"
"2020-21","Significant Third Party Return","National Disability Services Limited","VIC - Department of Justice & Community Safety","03/06/2021","44000"
"2020-21","Significant Third Party Return","National Disability Services Limited","SA - Department of Communities and Social Inclusion","","254131"
"2020-21","Significant Third Party Return","National Disability Services Limited","QLD - Department of Communities, Disability Services and Seniors","","885765"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Transport for NSW","","74105"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Local Land Services","","11138"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Land & Housing Corporation","","2850"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Department of Treasury","","9547"
"2020-21","Significant Third Party Return","National Disability Services Limited","NSW - Department of Justice Corrective Services","","145692"
