"Financial Year","ClientFileId","Name","ABN","ACN","Total Expenditure","Electoral Expenditure Cat. 1","Electoral Expenditure Cat. 2","Electoral Expenditure Cat. 3","Electoral Expenditure Cat. 4","Electoral Expenditure Cat. 5","Total Gifts Received","ClientType"
"2018-19","15605","Australian Christian Lobby","40 075 120 517","075 120 517","61142","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2018-19","20499","Australian Conservation Foundation Incorporated","22007498482","","472121","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2018-19","40337","Australian Marine Conservation Society","53409718351","","37261","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","19885","Australian Municipal Administrative Clerical & Services Union - Queensland Together Branch","97 853 552 816","","81081","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","38543","Australian Nursing and Midwifery Federation SA","95969485175","","170295","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","18736","Australian Rail Tram & Bus Industry Union New South Wales Branch","55090785801","","16335","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","40595","Australian Services Union Western Australian Branch","65118845644","","57907","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","40851","Australian Taxpayers' Alliance","72 153 797 294","153 797 294","25620","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","41533","Australian Youth Climate Coalition Limited","67 145 851 912","145 851 912","367353","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2018-19","19806","Automotive Food Metals Engineering Printing & Kindred Ind. Union","59459725116","","155913","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","38546","Bob Brown Foundation Inc","51634785002","","134429","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","18748","CEPU - Electrical Division QLD & NT ","80450640455","","317793","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2018-19","40758","Chamber of Commerce and Industry of Western Australia Limited","96929977985","099 891 611","32036","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2018-19","46308","Cherish Life Queensland Inc","44 470 248 746","","151218","N/A","N/A","N/A","N/A","N/A","20000","thirdparty"
"2018-19","40549","Christian Schools Australia Limited","49 092 580 124","092 580 124","139803","N/A","N/A","N/A","N/A","N/A","47500","thirdparty"
"2018-19","40617","Climate Action Network Australia","66 661 626 104","098 658 907","140113","N/A","N/A","N/A","N/A","N/A","143400","thirdparty"
"2018-19","21541","Community and Public Sector Union (PSU Group)","30987910747","","300150","N/A","N/A","N/A","N/A","N/A","0","significantthirdparty"
"2018-19","16488","Community and Public Sector Union CPSU (SPSF Group)","31 572 641 712","","50000","N/A","N/A","N/A","N/A","N/A","0","organisationdonor"
"2018-19","38072","Dragoman Pty Ltd","76 619 209 915","","16231","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
"2018-19","18756","Electrical Trades Union of Australia NSW Branch","24 379 005 569","","115711","N/A","N/A","N/A","N/A","N/A","0","associatedentity"
"2018-19","36517","Environment Victoria","84495053605","","26482","N/A","N/A","N/A","N/A","N/A","0","thirdparty"
